,gene_sgRNA,log of change,final diff,exon_id
586,CKAP5_sgRNA586,2.3674200597508395,-1.9721842384254935,ENSE00002150048
587,CKAP5_sgRNA587,0.20552712392591158,-0.013535238484346101,ENSE00002150048
588,CKAP5_sgRNA588,0.3496829785460746,-0.21062515343898233,ENSE00002150048
589,CKAP5_sgRNA589,0.562968771327902,-0.39509993032018487,ENSE00002150048
590,CKAP5_sgRNA590,0.01933074547391919,0.046903671883604225,ENSE00002150048
591,CKAP5_sgRNA591,0.6816943839952236,-0.36556802226757107,ENSE00002150048
592,CKAP5_sgRNA592,0.46734051182625186,-0.2650917159926854,ENSE00002150048
593,CKAP5_sgRNA593,-0.12293326163269927,0.2054100408260478,ENSE00001647325
594,CKAP5_sgRNA594,1.600913620007552,-1.1651444251204954,ENSE00001647325
595,CKAP5_sgRNA595,-0.7892263939833046,0.9026371264113482,ENSE00001226071
596,CKAP5_sgRNA596,-0.04959063332430463,0.1447468677637446,ENSE00001226071
597,CKAP5_sgRNA597,0.2350827652735945,0.05758547647681657,ENSE00001226071
598,CKAP5_sgRNA598,-0.5145136235205358,0.6533708861154621,ENSE00001226071
599,CKAP5_sgRNA599,0.21833852530598635,0.1172656685729056,ENSE00001226071
600,CKAP5_sgRNA600,-1.3894275229519275,1.1919554923219187,ENSE00001226071
601,CKAP5_sgRNA601,1.8949229671804149,-1.621841487477225,ENSE00001226071
602,CKAP5_sgRNA602,0.7807917848295579,-0.586779018559969,ENSE00001226071
603,CKAP5_sgRNA603,0.20828615349492596,-0.0018642230037792314,ENSE00001226071
604,CKAP5_sgRNA604,0.1902030012319088,0.055410831385807484,ENSE00001770155
605,CKAP5_sgRNA605,0.4502325309182315,-0.2562171741444747,ENSE00001770155
606,CKAP5_sgRNA606,-0.47270697827223385,0.5978514057224533,ENSE00001770155
607,CKAP5_sgRNA607,0.3410972044207213,-0.14198287593648928,ENSE00001770155
608,CKAP5_sgRNA608,1.2944534926124498,-0.8023710764025096,ENSE00003550022
609,CKAP5_sgRNA609,0.24657760848204152,-0.13060515696770902,ENSE00003550022
610,CKAP5_sgRNA610,-0.4112945177114404,0.4040374246271246,ENSE00003550022
611,CKAP5_sgRNA611,-0.03403043307735292,0.2528330674926395,ENSE00003515145
612,CKAP5_sgRNA612,4.328420503014204,-4.090648171549786,ENSE00003639928
613,CKAP5_sgRNA613,-3.307072939271255,3.529357230484767,ENSE00003639928
614,CKAP5_sgRNA614,0.33530071674865825,-0.11650647853946923,ENSE00003639928
615,CKAP5_sgRNA615,-0.6543387914845004,0.648735800432106,ENSE00003639928
616,CKAP5_sgRNA616,0.010274062976185284,0.030505124400780816,ENSE00003639928
617,CKAP5_sgRNA617,-0.7469521110465991,0.7590702108026083,ENSE00003639928
